Application_ID,Applicant_Age,Business_Type,Business_Age,Monthly_Business_Revenue,Monthly_Business_Expenses,Monthly_Business_Profit,Existing_Business_EMI,Loan_Amount,Loan_Tenure,Number_of_Employees,Business_Registration,GST_Registration,Annual_Turnover,Business_Location_Type,Loan_Purpose,Collateral_Available,Loan_Approval
BL100018,43,Transport,6.4,620700,300400,311000,85800,4031000,3,4,Registered,Yes,8051000,Urban,Business Expansion,No,Approved
BL100019,38,Retail,3.8,91000,78000,14600,8300,268000,5,2,Registered,No,1150000,Urban,Working Capital,No,Rejected
BL100020,47,Retail,0.3,251200,222600,29900,4100,327000,10,3,Unregistered,Not Applicable,3198000,Urban,Business Expansion,No,Rejected
BL100021,42,Manufacturing,1.1,159000,105600,54600,0,644000,3,0,Registered,Yes,2098000,Urban,Working Capital,Yes,Approved
BL100022,42,Restaurant,1.7,164800,104100,62500,20000,646000,5,1,Registered,Yes,2080000,Semi Urban,Inventory,Yes,Rejected
BL100023,32,Restaurant,12.0,78900,34500,44800,3100,480000,7,0,Registered,Yes,925000,Urban,Working Capital,Yes,Rejected
BL100024,29,Retail,7.4,433700,220300,197100,40300,3440000,2,2,Registered,No,5025000,Urban,Business Expansion,Yes,Approved
BL100025,30,Retail,3.2,75100,50200,24300,2300,180000,3,0,Registered,Yes,901000,Urban,Technology Upgrade,Yes,Rejected
BL100026,50,Other Services,2.6,339000,210700,132100,0,1844000,5,1,Registered,No,4423000,Urban,Business Expansion,Yes,Approved
BL100027,24,Retail,4.0,156900,100100,58800,14500,1029000,2,0,Registered,Yes,1700000,Semi Urban,Working Capital,Yes,Approved
BL100028,42,Retail,2.6,115100,83900,30100,2900,289000,3,0,Registered,Yes,1498000,Semi Urban,Business Expansion,Yes,Rejected
BL100029,42,Retail,1.8,112100,102400,9600,0,140000,3,2,Registered,Yes,1460000,Urban,New Branch,No,Approved
BL100030,34,Wholesale,5.0,204900,124200,85500,20800,1633000,10,5,Registered,Yes,2273000,Urban,Working Capital,No,Approved
BL100031,40,Manufacturing,4.5,159600,96800,67300,42500,1867000,5,0,Registered,Yes,1734000,Semi Urban,Working Capital,Yes,Rejected
BL100032,42,IT Services,9.4,199300,132600,68000,24000,934000,3,2,Registered,Yes,2446000,Semi Urban,Inventory,No,Approved
BL100033,30,IT Services,2.5,60400,39200,22300,4300,137000,3,0,Registered,Yes,662000,Semi Urban,Equipment Purchase,No,Rejected
BL100034,33,Education,3.9,57600,52000,6000,3900,133000,5,0,Registered,Yes,723000,Rural,Technology Upgrade,No,Rejected
BL100035,39,Retail,7.0,66700,43800,23800,0,691000,7,1,Registered,Yes,778000,Semi Urban,Inventory,No,Rejected
BL100036,39,Restaurant,4.7,321700,257700,63900,18300,1899000,2,2,Registered,Yes,3702000,Rural,Working Capital,Yes,Approved
BL100037,27,Transport,6.2,474000,459800,9500,4500,163000,5,1,Registered,Yes,5411000,Semi Urban,Working Capital,Yes,Approved
BL100038,40,Wholesale,3.0,169700,154200,21800,1000,223000,2,0,Registered,Yes,2172000,Semi Urban,Working Capital,No,Rejected
BL100039,40,Wholesale,8.8,310700,204800,117100,28700,2596000,5,0,Registered,No,4056000,Semi Urban,Equipment Purchase,Yes,Rejected
BL100040,48,IT Services,2.6,244800,152300,92600,9800,2350000,5,0,Registered,Yes,2698000,Rural,Working Capital,No,Approved
BL100041,39,Healthcare,5.3,400800,223900,180100,26800,3485000,5,2,Registered,Yes,4452000,Semi Urban,Equipment Purchase,No,Approved
BL100042,36,Retail,2.7,409700,285300,125800,32900,1816000,2,2,Registered,Yes,5141000,Urban,Technology Upgrade,Yes,Approved
BL100043,46,Other Services,11.0,94700,45300,49500,0,694000,10,0,Registered,No,1231000,Rural,Working Capital,Yes,Approved
BL100044,49,Manufacturing,3.0,223100,216400,7100,300,118000,3,1,Registered,Yes,2906000,Rural,Working Capital,Yes,Rejected
BL100045,27,Manufacturing,2.6,332400,203400,136800,28100,1491000,7,0,Registered,No,4288000,Rural,Inventory,No,Approved
BL100046,35,Manufacturing,7.4,333200,229200,96900,0,1570000,2,0,Registered,Yes,3915000,Semi Urban,New Branch,Yes,Approved
BL100047,23,Construction,3.0,314900,226200,84900,12300,2187000,3,1,Registered,Yes,3412000,Semi Urban,Working Capital,Yes,Approved
BL100048,31,Wholesale,6.5,194900,102700,95800,0,1851000,1,1,Registered,Yes,2108000,Urban,New Branch,Yes,Rejected
BL100049,53,Retail,2.4,298300,242600,56800,0,689000,2,1,Registered,Yes,3225000,Urban,New Branch,No,Rejected
BL100050,30,Education,10.0,84800,63100,23900,8100,545000,3,0,Registered,Yes,1019000,Urban,Working Capital,Yes,Rejected
BL100051,43,Other Services,3.9,87300,56500,31000,6700,446000,7,2,Registered,Yes,1004000,Urban,Working Capital,Yes,Rejected
BL100052,43,IT Services,8.0,491500,360100,135300,22600,1420000,5,3,Registered,No,6461000,Urban,Inventory,Yes,Approved
BL100053,34,Retail,5.0,382000,256900,123800,16600,891000,5,5,Registered,No,4716000,Semi Urban,Inventory,Yes,Approved
BL100054,35,Wholesale,2.8,513800,350100,178000,44000,4771000,1,3,Registered,Yes,6565000,Rural,Inventory,No,Rejected
BL100055,52,Wholesale,3.3,181300,108100,76500,9800,1491000,7,0,Registered,Yes,2351000,Urban,Business Expansion,Yes,Approved
BL100056,48,Manufacturing,4.6,110600,77300,30900,2700,207000,3,2,Registered,Yes,1294000,Semi Urban,Inventory,Yes,Approved
BL100057,59,Retail,11.4,177700,131200,48900,17500,874000,5,0,Registered,Yes,1969000,Urban,Technology Upgrade,No,Rejected
BL100058,23,IT Services,1.9,635900,366400,283200,30500,3637000,7,5,Registered,Yes,6907000,Urban,Working Capital,Yes,Rejected
BL100059,44,Education,4.3,120200,86600,33600,13500,412000,1,3,Registered,Yes,1531000,Urban,Business Expansion,Yes,Approved
BL100060,23,Manufacturing,3.0,179100,77500,104200,12200,2936000,3,0,Registered,Yes,1947000,Urban,Equipment Purchase,Yes,Rejected
BL100061,39,Restaurant,6.9,412800,348700,75200,23500,2178000,10,2,Registered,Yes,5020000,Urban,Business Expansion,No,Approved
BL100062,37,Education,7.0,208600,109400,99000,23600,2350000,1,2,Registered,Yes,2515000,Urban,Business Expansion,Yes,Rejected
BL100063,29,Transport,5.4,157500,72300,86400,24600,1033000,3,4,Registered,Yes,1889000,Urban,Business Expansion,Yes,Approved
BL100064,34,Wholesale,2.4,312800,193400,116700,28400,978000,7,2,Registered,Yes,4107000,Semi Urban,Working Capital,No,Approved
BL100065,36,Restaurant,5.2,149300,106500,44500,13700,325000,2,1,Registered,Yes,1648000,Semi Urban,Equipment Purchase,No,Rejected
BL100066,43,Other Services,12.9,264700,170800,89200,37300,639000,5,2,Registered,Yes,3247000,Rural,Working Capital,No,Approved
BL100067,29,Construction,5.4,46700,36900,10500,700,308000,5,2,Registered,Yes,525000,Urban,Equipment Purchase,Yes,Rejected
BL100068,32,Retail,5.0,69500,45400,26300,11100,268000,2,0,Registered,Yes,769000,Urban,Inventory,Yes,Rejected
BL100069,44,Retail,2.0,172800,113800,56100,8700,1321000,2,2,Registered,Yes,2123000,Urban,Working Capital,Yes,Rejected
BL100070,46,Transport,1.9,442700,295500,159500,0,2158000,5,6,Registered,Yes,5237000,Urban,New Branch,Yes,Approved
BL100071,63,Manufacturing,4.2,180200,163600,16700,5100,407000,2,2,Registered,Yes,1972000,Semi Urban,Business Expansion,Yes,Rejected
BL100072,41,Retail,1.3,192700,121900,68600,22300,1756000,5,2,Registered,Yes,2354000,Urban,Technology Upgrade,No,Rejected
BL100073,45,Construction,2.6,230900,224000,6300,1700,100000,7,1,Registered,Yes,3034000,Urban,Business Expansion,Yes,Rejected
BL100074,37,Education,4.8,155300,146800,8800,1300,124000,1,3,Registered,Yes,1681000,Semi Urban,Equipment Purchase,Yes,Rejected
BL100075,52,IT Services,6.0,75700,40400,34800,2100,622000,2,1,Registered,Yes,872000,Semi Urban,Equipment Purchase,Yes,Rejected
BL100076,31,Restaurant,2.2,300500,242900,64900,7800,470000,5,1,Registered,Yes,3740000,Rural,Working Capital,No,Approved
BL100077,39,Retail,1.6,233200,141700,90600,20400,596000,5,2,Registered,Yes,2983000,Semi Urban,Business Expansion,Yes,Approved
BL100078,41,Transport,10.5,244200,172700,73400,11700,1877000,3,2,Registered,Yes,2968000,Urban,Business Expansion,No,Approved
BL100079,44,Retail,10.1,101900,48900,57500,2500,974000,3,0,Registered,Yes,1189000,Rural,Inventory,Yes,Approved
BL100080,48,Construction,6.0,496800,336400,159500,25700,2865000,10,2,Registered,Yes,5552000,Urban,Business Expansion,Yes,Approved
BL100081,37,Other Services,13.1,153600,149000,3300,200,100000,5,0,Registered,Yes,1719000,Semi Urban,Equipment Purchase,No,Rejected
BL100082,47,IT Services,3.0,469000,275600,190600,18900,2648000,5,3,Registered,Yes,6130000,Urban,Business Expansion,No,Approved
BL100083,26,Construction,3.9,56100,44200,13200,4100,321000,3,1,Registered,No,607000,Urban,Equipment Purchase,Yes,Rejected
BL100084,41,Retail,4.0,153900,109000,44800,1000,293000,1,1,Registered,Yes,1907000,Semi Urban,Business Expansion,Yes,Approved
BL100085,23,Restaurant,3.0,495700,309100,189900,47300,1720000,5,3,Registered,Yes,6031000,Semi Urban,Working Capital,Yes,Approved
BL100086,37,IT Services,4.7,182500,155300,24900,3000,704000,2,0,Registered,Yes,2307000,Rural,Equipment Purchase,Yes,Approved
BL100087,62,Transport,6.8,45600,28900,16500,4000,446000,2,0,Registered,Yes,507000,Rural,Inventory,Yes,Rejected
BL100088,41,Restaurant,12.6,111800,76900,37200,2300,292000,2,2,Registered,Yes,1372000,Rural,Technology Upgrade,Yes,Approved
BL100089,35,Transport,4.7,235200,170300,58300,9700,1125000,7,2,Registered,Yes,2886000,Urban,New Branch,Yes,Approved
BL100090,44,Construction,3.7,470400,400600,53700,3800,1267000,5,3,Registered,Yes,6019000,Rural,Working Capital,No,Approved
BL100091,39,Retail,4.3,167300,107500,58300,14200,710000,7,2,Registered,Yes,2208000,Semi Urban,Business Expansion,Yes,Approved
BL100092,29,Healthcare,5.4,383600,372100,8900,0,100000,1,0,Registered,Yes,4767000,Urban,Working Capital,Yes,Rejected
BL100093,23,Construction,1.1,251900,115900,134900,25000,2945000,3,0,Unregistered,No,3109000,Urban,Technology Upgrade,No,Rejected
BL100094,39,Other Services,11.2,155300,95500,59200,100,1456000,5,0,Registered,No,1746000,Semi Urban,Technology Upgrade,No,Rejected
BL100095,37,Healthcare,3.7,318800,272200,47000,4700,1108000,7,1,Registered,Yes,3806000,Urban,Technology Upgrade,Yes,Rejected
BL100096,37,Construction,3.1,353700,218900,132300,19600,1332000,5,1,Registered,Yes,4462000,Rural,Inventory,No,Approved
BL100097,47,Retail,2.1,167300,119700,52300,16000,1025000,2,1,Registered,Yes,2190000,Rural,Working Capital,Yes,Rejected
BL100098,52,IT Services,10.5,129100,73300,58100,0,666000,5,0,Registered,Yes,1458000,Rural,New Branch,Yes,Rejected
BL100099,46,Restaurant,5.6,75300,38300,36900,0,766000,3,0,Registered,No,823000,Urban,New Branch,Yes,Rejected
BL100100,36,Healthcare,5.4,255400,159800,100500,36800,1766000,2,2,Registered,Yes,3229000,Rural,Working Capital,No,Approved
BL100101,40,Transport,16.7,140700,111300,22300,3300,439000,7,1,Registered,Yes,1572000,Semi Urban,Working Capital,No,Approved
BL100102,49,Wholesale,12.2,272000,167000,107100,0,1451000,5,0,Registered,Yes,3365000,Urban,Technology Upgrade,No,Rejected
BL100103,47,Restaurant,6.2,237000,161400,79900,10800,1490000,3,0,Registered,Yes,2698000,Urban,Equipment Purchase,Yes,Approved
BL100104,45,Retail,12.1,245600,154100,89000,11200,1635000,7,2,Registered,Yes,3212000,Urban,Technology Upgrade,No,Approved
BL100105,35,Restaurant,10.7,180100,140700,41500,4600,420000,10,1,Registered,Yes,2300000,Urban,Equipment Purchase,No,Approved
BL100106,49,Transport,14.7,92500,44800,46600,10800,301000,5,0,Registered,Yes,1131000,Semi Urban,Technology Upgrade,Yes,Approved
BL100107,52,Restaurant,12.4,264000,179000,87100,0,1901000,7,0,Registered,Yes,2920000,Urban,Equipment Purchase,No,Approved
BL100108,47,Retail,3.7,328700,212700,107800,22000,1278000,3,1,Registered,Yes,4016000,Rural,Inventory,Yes,Approved
BL100109,65,Retail,4.9,802200,460700,356800,45300,6687000,7,5,Registered,Yes,8745000,Urban,Equipment Purchase,Yes,Approved
BL100110,47,Education,2.6,139200,118400,21000,3900,135000,5,0,Registered,Yes,1531000,Rural,New Branch,No,Rejected
BL100111,50,Manufacturing,1.3,106000,49500,57100,18900,709000,7,1,Registered,Yes,1322000,Urban,Working Capital,No,Rejected
BL100112,46,Other Services,13.1,98700,73000,25700,8900,179000,7,0,Registered,Yes,1102000,Urban,Equipment Purchase,Yes,Rejected
BL100113,39,Retail,7.8,192900,145000,52300,22700,683000,3,0,Registered,Yes,2122000,Urban,Business Expansion,Yes,Approved
BL100114,29,IT Services,9.0,321800,206400,117400,0,2761000,7,1,Registered,Yes,3822000,Urban,Inventory,No,Approved
BL100115,33,IT Services,8.2,339300,320800,25300,6300,533000,3,2,Registered,Yes,4466000,Urban,Working Capital,Yes,Rejected
BL100116,33,IT Services,4.3,509600,381500,123100,38400,1225000,5,1,Registered,No,6421000,Semi Urban,Business Expansion,Yes,Approved
BL100117,29,Retail,5.0,250500,150100,103500,11100,922000,5,2,Registered,Yes,3011000,Urban,Business Expansion,No,Approved
BL100118,37,Education,7.1,96800,74800,25100,4800,222000,10,0,Registered,Yes,1085000,Urban,New Branch,Yes,Rejected
BL100119,40,Education,4.2,229600,144900,92400,36500,2438000,5,2,Registered,Yes,2612000,Rural,Working Capital,Yes,Approved
BL100120,51,Construction,5.3,56400,36100,17500,2900,225000,5,0,Registered,No,718000,Semi Urban,Business Expansion,Yes,Rejected
BL100121,29,Retail,5.5,161500,135500,26700,10400,798000,10,0,Registered,Yes,1768000,Semi Urban,Equipment Purchase,No,Rejected
BL100122,48,Manufacturing,5.1,154100,117600,32100,6000,620000,7,1,Registered,Yes,1873000,Urban,Technology Upgrade,No,Rejected
BL100123,42,Restaurant,5.7,262000,218000,42200,11100,1265000,5,1,Registered,Yes,3399000,Rural,Inventory,Yes,Approved
BL100124,43,Other Services,4.6,258800,95700,155300,51800,1829000,5,3,Registered,Yes,3076000,Semi Urban,Equipment Purchase,Yes,Rejected
BL100125,39,Healthcare,4.8,127600,94300,35000,1100,1007000,2,1,Registered,Yes,1664000,Urban,Equipment Purchase,Yes,Approved
BL100126,59,IT Services,6.1,129900,115700,14000,3600,394000,3,2,Registered,Yes,1633000,Rural,Equipment Purchase,Yes,Rejected
BL100127,33,Wholesale,8.8,206600,113100,90600,11100,915000,10,0,Registered,Yes,2579000,Semi Urban,Working Capital,Yes,Approved
BL100128,35,Healthcare,5.0,264600,189400,78300,29500,2323000,2,1,Registered,Yes,3124000,Urban,Working Capital,Yes,Rejected
BL100129,41,Retail,3.2,309100,205400,97600,14600,1406000,7,1,Registered,No,3466000,Semi Urban,Equipment Purchase,No,Approved
BL100130,44,IT Services,5.5,148500,116900,29500,4300,281000,5,0,Registered,Yes,1688000,Rural,Business Expansion,Yes,Approved
BL100131,42,Retail,2.4,193000,120300,71400,5000,1053000,2,2,Registered,Yes,2157000,Semi Urban,Business Expansion,No,Approved
BL100132,40,Education,5.6,106400,84800,21300,4000,170000,10,2,Registered,Yes,1334000,Rural,Equipment Purchase,Yes,Rejected
BL100133,45,IT Services,7.8,107200,70400,37300,10400,759000,3,0,Registered,No,1309000,Rural,Working Capital,Yes,Rejected
BL100134,45,Retail,16.0,62300,60400,2200,500,100000,3,1,Registered,No,762000,Rural,Inventory,No,Rejected
BL100135,40,Other Services,16.3,136000,100900,33500,17800,468000,3,0,Registered,Yes,1575000,Urban,Inventory,Yes,Rejected
BL100136,57,Education,7.1,428200,415400,15200,2000,206000,2,3,Registered,Yes,4874000,Urban,New Branch,Yes,Approved
BL100137,44,Wholesale,4.6,465200,362400,104000,7100,714000,5,5,Registered,Yes,5878000,Urban,Working Capital,No,Approved
BL100138,38,Other Services,5.1,279400,180300,99400,17900,2185000,3,4,Registered,No,3174000,Semi Urban,New Branch,No,Approved
BL100139,51,Manufacturing,6.0,363400,254400,98100,24600,1179000,10,0,Registered,Yes,4021000,Semi Urban,Inventory,No,Approved
BL100140,23,Construction,3.0,323200,240800,85600,700,1486000,5,3,Registered,Yes,3861000,Urban,Technology Upgrade,No,Approved
BL100141,30,Healthcare,2.9,220600,87500,132400,52500,2403000,3,2,Registered,Yes,2764000,Rural,Working Capital,Yes,Approved
BL100142,38,Wholesale,8.9,46100,37800,9000,1500,224000,7,0,Registered,Yes,500000,Rural,Inventory,No,Approved
BL100143,29,IT Services,7.7,774000,554800,221900,100800,4704000,10,4,Registered,No,8841000,Urban,Working Capital,Yes,Approved
BL100144,47,Restaurant,6.7,175500,134400,44900,18000,1315000,5,0,Registered,Yes,2177000,Urban,Inventory,Yes,Rejected
BL100145,47,Transport,2.7,175000,135700,41100,12300,870000,10,1,Registered,No,2062000,Urban,Inventory,Yes,Rejected
BL100146,55,Restaurant,12.5,477600,251500,222300,43700,3240000,3,2,Registered,Yes,5161000,Semi Urban,Equipment Purchase,Yes,Approved
BL100147,35,Retail,14.7,218800,154500,64100,3100,1723000,2,0,Registered,Yes,2733000,Rural,Business Expansion,No,Approved
BL100148,45,Education,3.4,900700,626500,264200,27800,4856000,3,8,Registered,No,10172000,Semi Urban,Working Capital,Yes,Approved
BL100149,52,Healthcare,13.5,120700,64300,54000,2100,567000,3,0,Registered,Yes,1383000,Urban,Technology Upgrade,Yes,Approved
BL100150,41,Restaurant,3.1,370200,327000,48500,1600,949000,3,2,Registered,Yes,4439000,Rural,Technology Upgrade,Yes,Approved
BL100151,49,Retail,3.9,171600,161000,9800,2400,100000,2,1,Registered,Yes,2228000,Rural,Technology Upgrade,No,Rejected
BL100152,39,Manufacturing,4.8,211100,136000,78100,19400,1116000,2,3,Registered,No,2500000,Rural,Technology Upgrade,No,Approved
BL100153,52,Wholesale,6.2,117200,89200,32400,0,218000,3,0,Registered,Yes,1285000,Semi Urban,Inventory,Yes,Approved
BL100154,33,Construction,6.9,136200,93500,45600,5800,359000,5,0,Registered,Yes,1615000,Urban,Equipment Purchase,Yes,Approved
BL100155,26,IT Services,6.0,431200,278900,144100,11300,1620000,2,4,Registered,Yes,5036000,Semi Urban,New Branch,Yes,Approved
BL100156,37,Education,3.9,271200,172300,95900,40100,2007000,1,2,Registered,No,3005000,Semi Urban,Working Capital,No,Approved
BL100157,39,Manufacturing,4.9,256300,135700,123600,0,2205000,2,1,Registered,No,2862000,Rural,Working Capital,Yes,Approved
BL100158,44,Other Services,1.3,74600,55200,20000,9800,328000,3,0,Unregistered,No,913000,Semi Urban,New Branch,No,Approved
BL100159,44,Transport,9.5,75900,46300,31600,9100,623000,1,0,Registered,No,998000,Urban,Business Expansion,No,Rejected
BL100160,34,Construction,7.4,114300,88100,25400,0,272000,3,0,Registered,Yes,1477000,Semi Urban,Working Capital,Yes,Approved
BL100161,31,Wholesale,3.8,156700,99400,53400,5500,1195000,5,0,Registered,Yes,2005000,Urban,New Branch,Yes,Rejected
BL100162,55,Other Services,3.4,186900,100700,82800,22100,1578000,7,3,Registered,Yes,2128000,Urban,Inventory,Yes,Approved
BL100163,39,Retail,1.5,240300,144700,101400,9900,948000,3,1,Registered,No,2932000,Rural,Working Capital,Yes,Rejected
BL100164,36,IT Services,3.1,367100,270600,97800,15600,1887000,5,0,Registered,Yes,4091000,Urban,Working Capital,No,Approved
BL100165,43,Manufacturing,1.4,480300,309900,178500,96600,1554000,5,2,Unregistered,Not Applicable,5685000,Urban,Working Capital,Yes,Approved
BL100166,31,Manufacturing,8.0,223400,127300,94600,12900,2098000,3,1,Registered,No,2807000,Urban,Inventory,No,Approved
BL100167,34,Healthcare,14.0,119700,107600,10400,400,119000,5,3,Registered,Yes,1355000,Urban,Working Capital,Yes,Approved
BL100168,47,Wholesale,6.5,308000,158000,154100,52000,1105000,2,1,Registered,Yes,3961000,Rural,Working Capital,No,Approved
BL100169,31,Retail,3.0,222000,190700,25500,0,268000,2,2,Registered,Yes,2789000,Semi Urban,Working Capital,No,Approved
BL100170,28,Other Services,8.0,263000,219800,45800,14000,806000,3,0,Registered,Yes,3261000,Semi Urban,Inventory,Yes,Rejected
BL100171,37,Retail,3.6,409900,329700,93600,26900,2160000,2,2,Registered,Yes,5298000,Semi Urban,Technology Upgrade,No,Approved
BL100172,42,Construction,10.6,157500,124200,26200,12400,390000,3,2,Registered,Yes,1804000,Urban,Business Expansion,No,Approved
BL100173,52,Transport,3.5,476200,280500,186900,49000,2761000,5,4,Registered,Yes,6222000,Semi Urban,Working Capital,Yes,Approved
BL100174,43,Healthcare,1.4,84600,52200,32400,5300,536000,5,0,Unregistered,No,993000,Semi Urban,Equipment Purchase,Yes,Approved
BL100175,45,Transport,8.0,307800,289200,15800,3100,423000,2,3,Registered,No,3620000,Rural,Working Capital,No,Rejected
BL100176,31,IT Services,11.0,134500,111200,23000,12000,580000,2,1,Registered,Yes,1718000,Urban,Working Capital,No,Rejected
BL100177,42,Manufacturing,9.1,227500,171700,65900,13800,1861000,7,2,Registered,Yes,2926000,Urban,Business Expansion,Yes,Rejected
BL100178,30,Wholesale,1.3,242100,149100,89900,15100,2234000,3,3,Unregistered,Not Applicable,3031000,Urban,Working Capital,Yes,Rejected
BL100179,48,Retail,6.1,161100,92600,67800,12900,1131000,2,0,Registered,Yes,1892000,Rural,Working Capital,No,Rejected
BL100180,41,Wholesale,17.3,135300,73000,59700,16200,1178000,5,0,Registered,Yes,1751000,Urban,Business Expansion,Yes,Rejected
BL100181,40,Retail,5.0,119400,71700,44400,6400,854000,10,0,Registered,Yes,1514000,Rural,Equipment Purchase,Yes,Rejected
BL100182,45,Transport,9.3,236100,154800,83400,3800,2479000,5,4,Registered,Yes,2798000,Semi Urban,Equipment Purchase,No,Rejected
BL100183,36,IT Services,4.9,290900,207300,74200,7400,1759000,5,1,Registered,Yes,3411000,Rural,Technology Upgrade,No,Approved
BL100184,36,Construction,2.5,592700,502200,75100,5100,1412000,7,6,Registered,Yes,7134000,Rural,Working Capital,Yes,Approved
BL100185,31,Wholesale,1.7,170500,165200,5500,1000,118000,2,0,Registered,Yes,2202000,Urban,Working Capital,Yes,Rejected
BL100186,56,IT Services,8.1,79100,70100,9900,1100,287000,5,0,Registered,Yes,1012000,Urban,Business Expansion,No,Rejected
BL100187,38,Transport,10.9,263900,139100,120200,20800,1272000,2,5,Registered,Yes,2877000,Semi Urban,Inventory,No,Rejected
BL100188,37,Manufacturing,5.2,70000,41500,27500,4900,787000,5,2,Registered,Yes,871000,Urban,Business Expansion,Yes,Rejected
BL100189,46,Other Services,13.9,519700,294800,207900,49800,3008000,5,4,Registered,Yes,6232000,Semi Urban,Technology Upgrade,Yes,Approved
BL100190,40,Retail,1.9,313300,261400,55100,3100,791000,7,1,Registered,Yes,3491000,Urban,Working Capital,Yes,Approved
BL100191,23,Restaurant,2.4,108500,86300,22300,10200,254000,5,3,Registered,No,1174000,Rural,Business Expansion,No,Rejected
BL100192,58,Retail,2.4,76800,48400,28400,11000,412000,5,0,Registered,No,907000,Urban,Equipment Purchase,Yes,Rejected
BL100193,36,Wholesale,16.0,118500,80600,34800,9800,631000,3,0,Registered,Yes,1347000,Semi Urban,Equipment Purchase,Yes,Rejected
BL100194,32,IT Services,3.0,273400,197900,79900,24800,807000,1,2,Registered,Yes,3115000,Semi Urban,Equipment Purchase,Yes,Approved
BL100195,39,Retail,14.4,125300,96100,27900,800,280000,3,0,Registered,Yes,1539000,Rural,Working Capital,No,Approved
BL100196,35,Transport,12.3,310500,266200,49800,5600,643000,1,0,Registered,No,3726000,Rural,New Branch,Yes,Approved
BL100197,36,Other Services,16.0,349000,252400,92000,11900,569000,5,3,Registered,Yes,3945000,Semi Urban,Business Expansion,Yes,Approved
BL100198,41,Retail,6.5,141100,94400,47600,0,1024000,2,4,Registered,Yes,1828000,Urban,Technology Upgrade,No,Approved
BL100199,23,Manufacturing,1.8,337800,253300,79400,11400,860000,1,4,Registered,No,4056000,Urban,Working Capital,Yes,Approved
BL100200,47,Manufacturing,6.2,410400,274600,143700,77700,3873000,5,3,Registered,Yes,4538000,Urban,Working Capital,Yes,Approved
BL100201,49,Construction,3.5,279100,208900,63400,13700,956000,3,0,Registered,Yes,3145000,Urban,Equipment Purchase,No,Approved
BL100202,25,IT Services,5.0,275700,185300,92100,39600,1558000,5,2,Registered,No,3620000,Rural,Working Capital,Yes,Approved
BL100203,44,Construction,6.0,141900,120800,17600,7400,498000,5,2,Registered,Yes,1695000,Urban,Business Expansion,No,Rejected
BL100204,32,IT Services,12.0,672300,579900,86700,5100,573000,3,8,Registered,Yes,8455000,Semi Urban,Working Capital,No,Approved
BL100205,36,Retail,15.3,110300,74000,37700,7700,866000,1,1,Registered,Yes,1455000,Urban,Inventory,No,Rejected
